index,Shortcodes
339,:night_with_stars:
340,:sunrise_over_mountains:
341,:sunrise:
342,:city_sunset:
343,:city_sunrise:
344,:rainbow:
345,:bridge_at_night:
346,:ocean:
347,:volcano:
348,:milky_way:
349,:earth_africa:
350,:earth_americas:
351,:earth_asia:
352,:globe_with_meridians:
353,:new_moon:
354,:waxing_crescent_moon:
355,:first_quarter_moon:
356,:moon:
357,:waxing_gibbous_moon:
358,:full_moon:
359,:waning_gibbous_moon:
360,:last_quarter_moon:
361,:waning_crescent_moon:
362,:crescent_moon:
363,:new_moon_with_face:
364,:first_quarter_moon_with_face:
365,:last_quarter_moon_with_face:
366,:full_moon_with_face:
367,:sun_with_face:
368,:star2:
369,:stars:
370,:thermometer:
371,:mostly_sunny:
372,:sun_small_cloud:
373,:barely_sunny:
374,:sun_behind_cloud:
375,:partly_sunny_rain:
376,:sun_behind_rain_cloud:
377,:rain_cloud:
378,:snow_cloud:
379,:lightning:
380,:lightning_cloud:
381,:tornado:
382,:tornado_cloud:
383,:fog:
384,:wind_blowing_face:
385,:hotdog:
386,:taco:
387,:burrito:
388,:chestnut:
389,:seedling:
390,:evergreen_tree:
391,:deciduous_tree:
392,:palm_tree:
393,:cactus:
394,:hot_pepper:
395,:tulip:
396,:cherry_blossom:
397,:rose:
398,:hibiscus:
399,:sunflower:
400,:blossom:
401,:corn:
402,:ear_of_rice:
403,:herb:
404,:four_leaf_clover:
405,:maple_leaf:
406,:fallen_leaf:
407,:leaves:
408,:mushroom:
409,:tomato:
410,:eggplant:
411,:grapes:
412,:melon:
413,:watermelon:
414,:tangerine:
415,:lemon:
416,:banana:
417,:pineapple:
418,:apple:
419,:green_apple:
420,:pear:
421,:peach:
422,:cherries:
423,:strawberry:
424,:hamburger:
425,:pizza:
426,:meat_on_bone:
427,:poultry_leg:
428,:rice_cracker:
429,:rice_ball:
430,:rice:
431,:curry:
432,:ramen:
433,:spaghetti:
434,:bread:
435,:fries:
436,:sweet_potato:
437,:dango:
438,:oden:
439,:sushi:
440,:fried_shrimp:
441,:fish_cake:
442,:icecream:
443,:shaved_ice:
444,:ice_cream:
445,:doughnut:
446,:cookie:
447,:chocolate_bar:
448,:candy:
449,:lollipop:
450,:custard:
451,:honey_pot:
452,:cake:
453,:bento:
454,:stew:
455,:fried_egg:
456,:cooking:
457,:fork_and_knife:
458,:tea:
459,:sake:
460,:wine_glass:
461,:cocktail:
462,:tropical_drink:
463,:beer:
464,:beers:
465,:baby_bottle:
466,:knife_fork_plate:
467,:champagne:
468,:popcorn:
469,:ribbon:
470,:gift:
471,:birthday:
472,:jack_o_lantern:
473,:christmas_tree:
474,:santa:
475,:fireworks:
476,:sparkler:
477,:balloon:
478,:tada:
479,:confetti_ball:
480,:tanabata_tree:
481,:crossed_flags:
482,:bamboo:
483,:dolls:
484,:flags:
485,:wind_chime:
486,:rice_scene:
487,:school_satchel:
488,:mortar_board:
489,:medal:
490,:reminder_ribbon:
491,:studio_microphone:
492,:level_slider:
493,:control_knobs:
494,:film_frames:
495,:admission_tickets:
496,:carousel_horse:
497,:ferris_wheel:
498,:roller_coaster:
499,:fishing_pole_and_fish:
500,:microphone:
501,:movie_camera:
502,:cinema:
503,:headphones:
504,:art:
505,:tophat:
506,:circus_tent:
507,:ticket:
508,:clapper:
509,:performing_arts:
510,:video_game:
511,:dart:
512,:slot_machine:
513,:8ball:
514,:game_die:
515,:bowling:
516,:flower_playing_cards:
517,:musical_note:
518,:notes:
519,:saxophone:
520,:guitar:
521,:musical_keyboard:
522,:trumpet:
523,:violin:
524,:musical_score:
525,:running_shirt_with_sash:
526,:tennis:
527,:ski:
528,:basketball:
529,:checkered_flag:
530,:snowboarder:
531,:woman-running:
532,:man-running:
533,:runner:
534,:running:
535,:woman-surfing:
536,:man-surfing:
537,:surfer:
538,:sports_medal:
539,:trophy:
540,:horse_racing:
541,:football:
542,:rugby_football:
543,:woman-swimming:
544,:man-swimming:
545,:swimmer:
546,:woman-lifting-weights:
547,:man-lifting-weights:
548,:weight_lifter:
549,:woman-golfing:
550,:man-golfing:
551,:golfer:
552,:racing_motorcycle:
553,:racing_car:
554,:cricket_bat_and_ball:
555,:volleyball:
556,:field_hockey_stick_and_ball:
557,:ice_hockey_stick_and_puck:
558,:table_tennis_paddle_and_ball:
559,:snow_capped_mountain:
560,:camping:
561,:beach_with_umbrella:
562,:building_construction:
563,:house_buildings:
564,:cityscape:
565,:derelict_house_building:
566,:classical_building:
567,:desert:
568,:desert_island:
569,:national_park:
570,:stadium:
571,:house:
572,:house_with_garden:
573,:office:
574,:post_office:
575,:european_post_office:
576,:hospital:
577,:bank:
578,:atm:
579,:hotel:
580,:love_hotel:
581,:convenience_store:
582,:school:
583,:department_store:
584,:factory:
585,:izakaya_lantern:
586,:lantern:
587,:japanese_castle:
588,:european_castle:
589,:rainbow-flag:
590,:transgender_flag:
591,:waving_white_flag:
592,:pirate_flag:
593,:flag-england:
594,:flag-scotland:
595,:flag-wales:
596,:waving_black_flag:
597,:rosette:
598,:label:
599,:badminton_racquet_and_shuttlecock:
600,:bow_and_arrow:
601,:amphora:
602,:skin-tone-2:
603,:skin-tone-3:
604,:skin-tone-4:
605,:skin-tone-5:
606,:skin-tone-6:
607,:rat:
608,:mouse2:
609,:ox:
610,:water_buffalo:
611,:cow2:
612,:tiger2:
613,:leopard:
614,:rabbit2:
615,:black_cat:
616,:cat2:
617,:dragon:
618,:crocodile:
619,:whale2:
620,:snail:
621,:snake:
622,:racehorse:
623,:ram:
624,:goat:
625,:sheep:
626,:monkey:
627,:rooster:
628,:chicken:
629,:service_dog:
630,:dog2:
631,:pig2:
632,:boar:
633,:elephant:
634,:octopus:
635,:shell:
636,:bug:
637,:ant:
638,:bee:
639,:honeybee:
640,:ladybug:
641,:lady_beetle:
642,:fish:
643,:tropical_fish:
644,:blowfish:
645,:turtle:
646,:hatching_chick:
647,:baby_chick:
648,:hatched_chick:
649,:bird:
650,:penguin:
651,:koala:
652,:poodle:
653,:dromedary_camel:
654,:camel:
655,:dolphin:
656,:flipper:
657,:mouse:
658,:cow:
659,:tiger:
660,:rabbit:
661,:cat:
662,:dragon_face:
663,:whale:
664,:horse:
665,:monkey_face:
666,:dog:
667,:pig:
668,:frog:
669,:hamster:
670,:wolf:
671,:polar_bear:
672,:bear:
673,:panda_face:
674,:pig_nose:
675,:feet:
676,:paw_prints:
677,:chipmunk:
678,:eyes:
679,:eye-in-speech-bubble:
680,:eye:
681,:ear:
682,:nose:
683,:lips:
684,:tongue:
685,:point_up_2:
686,:point_down:
687,:point_left:
688,:point_right:
689,:facepunch:
690,:punch:
691,:wave:
692,:ok_hand:
693,:+1:
694,:thumbsup:
695,:-1:
696,:thumbsdown:
697,:clap:
698,:open_hands:
699,:crown:
700,:womans_hat:
701,:eyeglasses:
702,:necktie:
703,:shirt:
704,:tshirt:
705,:jeans:
706,:dress:
707,:kimono:
708,:bikini:
709,:womans_clothes:
710,:purse:
711,:handbag:
712,:pouch:
713,:mans_shoe:
714,:shoe:
715,:athletic_shoe:
716,:high_heel:
717,:sandal:
718,:boot:
719,:footprints:
720,:bust_in_silhouette:
721,:busts_in_silhouette:
722,:boy:
723,:girl:
724,:male-farmer:
725,:male-cook:
726,:man_feeding_baby:
727,:male-student:
728,:male-singer:
729,:male-artist:
730,:male-teacher:
731,:male-factory-worker:
732,:man-boy-boy:
733,:man-boy:
734,:man-girl-boy:
735,:man-girl-girl:
736,:man-girl:
737,:man-man-boy:
738,:man-man-boy-boy:
739,:man-man-girl:
740,:man-man-girl-boy:
741,:man-man-girl-girl:
742,:man-woman-boy:
743,:family:
744,:man-woman-boy-boy:
745,:man-woman-girl:
746,:man-woman-girl-boy:
747,:man-woman-girl-girl:
748,:male-technologist:
749,:male-office-worker:
750,:male-mechanic:
751,:male-scientist:
752,:male-astronaut:
753,:male-firefighter:
754,:man_with_probing_cane:
755,:red_haired_man:
756,:curly_haired_man:
757,:bald_man:
758,:white_haired_man:
759,:man_in_motorized_wheelchair:
760,:man_in_manual_wheelchair:
761,:male-doctor:
762,:male-judge:
763,:male-pilot:
764,:man-heart-man:
765,:man-kiss-man:
766,:man:
767,:female-farmer:
768,:female-cook:
769,:woman_feeding_baby:
770,:female-student:
771,:female-singer:
772,:female-artist:
773,:female-teacher:
774,:female-factory-worker:
775,:woman-boy-boy:
776,:woman-boy:
777,:woman-girl-boy:
778,:woman-girl-girl:
779,:woman-girl:
780,:woman-woman-boy:
781,:woman-woman-boy-boy:
782,:woman-woman-girl:
783,:woman-woman-girl-boy:
784,:woman-woman-girl-girl:
785,:female-technologist:
786,:female-office-worker:
787,:female-mechanic:
788,:female-scientist:
789,:female-astronaut:
790,:female-firefighter:
791,:woman_with_probing_cane:
792,:red_haired_woman:
793,:curly_haired_woman:
794,:bald_woman:
795,:white_haired_woman:
796,:woman_in_motorized_wheelchair:
797,:woman_in_manual_wheelchair:
798,:female-doctor:
799,:female-judge:
800,:female-pilot:
801,:woman-heart-man:
802,:woman-heart-woman:
803,:woman-kiss-man:
804,:woman-kiss-woman:
805,:woman:
806,:man_and_woman_holding_hands:
807,:woman_and_man_holding_hands:
808,:couple:
809,:two_men_holding_hands:
810,:men_holding_hands:
811,:two_women_holding_hands:
812,:women_holding_hands:
813,:female-police-officer:
814,:male-police-officer:
815,:cop:
816,:women-with-bunny-ears-partying:
817,:woman-with-bunny-ears-partying:
818,:dancers:
819,:men-with-bunny-ears-partying:
820,:man-with-bunny-ears-partying:
821,:woman_with_veil:
822,:man_with_veil:
823,:bride_with_veil:
824,:blond-haired-woman:
825,:blond-haired-man:
826,:person_with_blond_hair:
827,:man_with_gua_pi_mao:
828,:woman-wearing-turban:
829,:man-wearing-turban:
830,:man_with_turban:
831,:older_man:
832,:older_woman:
833,:baby:
834,:female-construction-worker:
835,:male-construction-worker:
836,:construction_worker:
837,:princess:
838,:japanese_ogre:
839,:japanese_goblin:
840,:ghost:
841,:angel:
842,:alien:
843,:space_invader:
844,:imp:
845,:skull:
846,:woman-tipping-hand:
847,:information_desk_person:
848,:man-tipping-hand:
849,:female-guard:
850,:male-guard:
851,:guardsman:
852,:dancer:
853,:lipstick:
854,:nail_care:
855,:woman-getting-massage:
856,:massage:
857,:man-getting-massage:
858,:woman-getting-haircut:
859,:haircut:
860,:man-getting-haircut:
861,:barber:
862,:syringe:
863,:pill:
864,:kiss:
865,:love_letter:
866,:ring:
867,:gem:
868,:couplekiss:
869,:bouquet:
870,:couple_with_heart:
871,:wedding:
872,:heartbeat:
873,:broken_heart:
874,:two_hearts:
875,:sparkling_heart:
876,:heartpulse:
877,:cupid:
878,:blue_heart:
879,:green_heart:
880,:yellow_heart:
881,:purple_heart:
882,:gift_heart:
883,:revolving_hearts:
884,:heart_decoration:
885,:diamond_shape_with_a_dot_inside:
886,:bulb:
887,:anger:
888,:bomb:
889,:zzz:
890,:boom:
891,:collision:
892,:sweat_drops:
893,:droplet:
894,:dash:
895,:hankey:
896,:poop:
897,:shit:
898,:muscle:
899,:dizzy:
900,:speech_balloon:
901,:thought_balloon:
902,:white_flower:
903,:moneybag:
904,:currency_exchange:
905,:heavy_dollar_sign:
906,:credit_card:
907,:yen:
908,:dollar:
909,:euro:
910,:pound:
911,:money_with_wings:
912,:chart:
913,:seat:
914,:computer:
915,:briefcase:
916,:minidisc:
917,:floppy_disk:
918,:cd:
919,:dvd:
920,:file_folder:
921,:open_file_folder:
922,:page_with_curl:
923,:page_facing_up:
924,:date:
925,:calendar:
926,:card_index:
927,:chart_with_upwards_trend:
928,:chart_with_downwards_trend:
929,:bar_chart:
930,:clipboard:
931,:pushpin:
932,:round_pushpin:
933,:paperclip:
934,:straight_ruler:
935,:triangular_ruler:
936,:bookmark_tabs:
937,:ledger:
938,:notebook:
939,:notebook_with_decorative_cover:
940,:closed_book:
941,:book:
942,:open_book:
943,:green_book:
944,:blue_book:
945,:orange_book:
946,:books:
947,:name_badge:
948,:scroll:
949,:memo:
950,:pencil:
951,:telephone_receiver:
952,:pager:
953,:fax:
954,:satellite_antenna:
955,:loudspeaker:
956,:mega:
957,:outbox_tray:
958,:inbox_tray:
959,:package:
960,:e-mail:
961,:incoming_envelope:
962,:envelope_with_arrow:
963,:mailbox_closed:
964,:mailbox:
965,:mailbox_with_mail:
966,:mailbox_with_no_mail:
967,:postbox:
968,:postal_horn:
969,:newspaper:
970,:iphone:
971,:calling:
972,:vibration_mode:
973,:mobile_phone_off:
974,:no_mobile_phones:
975,:signal_strength:
976,:camera:
977,:camera_with_flash:
978,:video_camera:
979,:tv:
980,:radio:
981,:vhs:
982,:film_projector:
983,:prayer_beads:
984,:twisted_rightwards_arrows:
985,:repeat:
986,:repeat_one:
987,:arrows_clockwise:
988,:arrows_counterclockwise:
989,:low_brightness:
990,:high_brightness:
991,:mute:
992,:speaker:
993,:sound:
994,:loud_sound:
995,:battery:
996,:electric_plug:
997,:mag:
998,:mag_right:
999,:lock_with_ink_pen:
1000,:closed_lock_with_key:
1001,:key:
1002,:lock:
1003,:unlock:
1004,:bell:
1005,:no_bell:
1006,:bookmark:
1007,:link:
1008,:radio_button:
1009,:back:
1010,:end:
1011,:on:
1012,:soon:
1013,:top:
1014,:underage:
1015,:keycap_ten:
1016,:capital_abcd:
1017,:abcd:
1018,:symbols:
1019,:abc:
1020,:fire:
1021,:flashlight:
1022,:wrench:
1023,:hammer:
1024,:nut_and_bolt:
1025,:hocho:
1026,:knife:
1027,:gun:
1028,:microscope:
1029,:telescope:
1030,:crystal_ball:
1031,:six_pointed_star:
1032,:beginner:
1033,:trident:
1034,:black_square_button:
1035,:white_square_button:
1036,:red_circle:
1037,:large_blue_circle:
1038,:large_orange_diamond:
1039,:large_blue_diamond:
1040,:small_orange_diamond:
1041,:small_blue_diamond:
1042,:small_red_triangle:
1043,:small_red_triangle_down:
1044,:arrow_up_small:
1045,:arrow_down_small:
1046,:om_symbol:
1047,:dove_of_peace:
1048,:kaaba:
1049,:mosque:
1050,:synagogue:
1051,:menorah_with_nine_branches:
1052,:clock1:
1053,:clock2:
1054,:clock3:
1055,:clock4:
1056,:clock5:
1057,:clock6:
1058,:clock7:
1059,:clock8:
1060,:clock9:
1061,:clock10:
1062,:clock11:
1063,:clock12:
1064,:clock130:
1065,:clock230:
1066,:clock330:
1067,:clock430:
1068,:clock530:
1069,:clock630:
1070,:clock730:
1071,:clock830:
1072,:clock930:
1073,:clock1030:
1074,:clock1130:
1075,:clock1230:
1076,:candle:
1077,:mantelpiece_clock:
1078,:hole:
1079,:man_in_business_suit_levitating:
1080,:female-detective:
1081,:male-detective:
1082,:sleuth_or_spy:
1083,:dark_sunglasses:
1084,:spider:
1085,:spider_web:
1086,:joystick:
1087,:man_dancing:
1088,:linked_paperclips:
1089,:lower_left_ballpoint_pen:
1090,:lower_left_fountain_pen:
1091,:lower_left_paintbrush:
1092,:lower_left_crayon:
1093,:raised_hand_with_fingers_splayed:
1094,:middle_finger:
1095,:reversed_hand_with_middle_finger_extended:
1096,:spock-hand:
1097,:black_heart:
1098,:desktop_computer:
1099,:printer:
1100,:three_button_mouse:
1101,:trackball:
1102,:frame_with_picture:
1103,:card_index_dividers:
1104,:card_file_box:
1105,:file_cabinet:
1106,:wastebasket:
1107,:spiral_note_pad:
1108,:spiral_calendar_pad:
1109,:compression:
1110,:old_key:
1111,:rolled_up_newspaper:
1112,:dagger_knife:
1113,:speaking_head_in_silhouette:
1114,:left_speech_bubble:
1115,:right_anger_bubble:
1116,:ballot_box_with_ballot:
1117,:world_map:
1118,:mount_fuji:
1119,:tokyo_tower:
1120,:statue_of_liberty:
1121,:japan:
1122,:moyai:
1123,:grinning:
1124,:grin:
1125,:joy:
1126,:smiley:
1127,:smile:
1128,:sweat_smile:
1129,:laughing:
1130,:satisfied:
1131,:innocent:
1132,:smiling_imp:
1133,:wink:
1134,:blush:
1135,:yum:
1136,:relieved:
1137,:heart_eyes:
1138,:sunglasses:
1139,:smirk:
1140,:neutral_face:
1141,:expressionless:
1142,:unamused:
1143,:sweat:
1144,:pensive:
1145,:confused:
1146,:confounded:
1147,:kissing:
1148,:kissing_heart:
1149,:kissing_smiling_eyes:
1150,:kissing_closed_eyes:
1151,:stuck_out_tongue:
1152,:stuck_out_tongue_winking_eye:
1153,:stuck_out_tongue_closed_eyes:
1154,:disappointed:
1155,:worried:
1156,:angry:
1157,:rage:
1158,:cry:
1159,:persevere:
1160,:triumph:
1161,:disappointed_relieved:
1162,:frowning:
1163,:anguished:
1164,:fearful:
1165,:weary:
1166,:sleepy:
1167,:tired_face:
1168,:grimacing:
1169,:sob:
1170,:face_exhaling:
1171,:open_mouth:
1172,:hushed:
1173,:cold_sweat:
1174,:scream:
1175,:astonished:
1176,:flushed:
1177,:sleeping:
1178,:face_with_spiral_eyes:
1179,:dizzy_face:
1180,:face_in_clouds:
1181,:no_mouth:
1182,:mask:
1183,:smile_cat:
1184,:joy_cat:
1185,:smiley_cat:
1186,:heart_eyes_cat:
1187,:smirk_cat:
1188,:kissing_cat:
1189,:pouting_cat:
1190,:crying_cat_face:
1191,:scream_cat:
1192,:slightly_frowning_face:
1193,:slightly_smiling_face:
1194,:upside_down_face:
1195,:face_with_rolling_eyes:
1196,:woman-gesturing-no:
1197,:no_good:
1198,:man-gesturing-no:
1199,:woman-gesturing-ok:
1200,:ok_woman:
1201,:man-gesturing-ok:
1202,:woman-bowing:
1203,:man-bowing:
1204,:bow:
1205,:see_no_evil:
1206,:hear_no_evil:
1207,:speak_no_evil:
1208,:woman-raising-hand:
1209,:raising_hand:
1210,:man-raising-hand:
1211,:raised_hands:
1212,:woman-frowning:
1213,:person_frowning:
1214,:man-frowning:
1215,:woman-pouting:
1216,:person_with_pouting_face:
1217,:man-pouting:
1218,:pray:
1219,:rocket:
1220,:helicopter:
1221,:steam_locomotive:
1222,:railway_car:
1223,:bullettrain_side:
1224,:bullettrain_front:
1225,:train2:
1226,:metro:
1227,:light_rail:
1228,:station:
1229,:tram:
1230,:train:
1231,:bus:
1232,:oncoming_bus:
1233,:trolleybus:
1234,:busstop:
1235,:minibus:
1236,:ambulance:
1237,:fire_engine:
1238,:police_car:
1239,:oncoming_police_car:
1240,:taxi:
1241,:oncoming_taxi:
1242,:car:
1243,:red_car:
1244,:oncoming_automobile:
1245,:blue_car:
1246,:truck:
1247,:articulated_lorry:
1248,:tractor:
1249,:monorail:
1250,:mountain_railway:
1251,:suspension_railway:
1252,:mountain_cableway:
1253,:aerial_tramway:
1254,:ship:
1255,:woman-rowing-boat:
1256,:man-rowing-boat:
1257,:rowboat:
1258,:speedboat:
1259,:traffic_light:
1260,:vertical_traffic_light:
1261,:construction:
1262,:rotating_light:
1263,:triangular_flag_on_post:
1264,:door:
1265,:no_entry_sign:
1266,:smoking:
1267,:no_smoking:
1268,:put_litter_in_its_place:
1269,:do_not_litter:
1270,:potable_water:
1271,:non-potable_water:
1272,:bike:
1273,:no_bicycles:
1274,:woman-biking:
1275,:man-biking:
1276,:bicyclist:
1277,:woman-mountain-biking:
1278,:man-mountain-biking:
1279,:mountain_bicyclist:
1280,:woman-walking:
1281,:man-walking:
1282,:walking:
1283,:no_pedestrians:
1284,:children_crossing:
1285,:mens:
1286,:womens:
1287,:restroom:
1288,:baby_symbol:
1289,:toilet:
1290,:wc:
1291,:shower:
1292,:bath:
1293,:bathtub:
1294,:passport_control:
1295,:customs:
1296,:baggage_claim:
1297,:left_luggage:
1298,:couch_and_lamp:
1299,:sleeping_accommodation:
1300,:shopping_bags:
1301,:bellhop_bell:
1302,:bed:
1303,:place_of_worship:
1304,:octagonal_sign:
1305,:shopping_trolley:
1306,:hindu_temple:
1307,:hut:
1308,:elevator:
1309,:hammer_and_wrench:
1310,:shield:
1311,:oil_drum:
1312,:motorway:
1313,:railway_track:
1314,:motor_boat:
1315,:small_airplane:
1316,:airplane_departure:
1317,:airplane_arriving:
1318,:satellite:
1319,:passenger_ship:
1320,:scooter:
1321,:motor_scooter:
1322,:canoe:
1323,:sled:
1324,:flying_saucer:
1325,:skateboard:
1326,:auto_rickshaw:
1327,:pickup_truck:
1328,:roller_skate:
1329,:large_orange_circle:
1330,:large_yellow_circle:
1331,:large_green_circle:
1332,:large_purple_circle:
1333,:large_brown_circle:
1334,:large_red_square:
1335,:large_blue_square:
1336,:large_orange_square:
1337,:large_yellow_square:
1338,:large_green_square:
1339,:large_purple_square:
1340,:large_brown_square:
1341,:pinched_fingers:
1342,:white_heart:
1343,:brown_heart:
1344,:pinching_hand:
1345,:zipper_mouth_face:
1346,:money_mouth_face:
1347,:face_with_thermometer:
1348,:nerd_face:
1349,:thinking_face:
1350,:face_with_head_bandage:
1351,:robot_face:
1352,:hugging_face:
1353,:the_horns:
1354,:sign_of_the_horns:
1355,:call_me_hand:
1356,:raised_back_of_hand:
1357,:left-facing_fist:
1358,:right-facing_fist:
1359,:handshake:
1360,:crossed_fingers:
1361,:hand_with_index_and_middle_fingers_crossed:
1362,:i_love_you_hand_sign:
1363,:face_with_cowboy_hat:
1364,:clown_face:
1365,:nauseated_face:
1366,:rolling_on_the_floor_laughing:
1367,:drooling_face:
1368,:lying_face:
1369,:woman-facepalming:
1370,:man-facepalming:
1371,:face_palm:
1372,:sneezing_face:
1373,:face_with_raised_eyebrow:
1374,:face_with_one_eyebrow_raised:
1375,:star-struck:
1376,:grinning_face_with_star_eyes:
1377,:zany_face:
